-123.145460000000 , 44.632347000000
-123.145518580071 , 44.632623407104
-123.145550480427 , 44.632939385246
-123.145622256228 , 44.633097374317
-123.145765807829 , 44.633161557377
-123.145925309609 , 44.633230677596
-123.146021010676 , 44.633319546448
-123.146196462633 , 44.633329420765
-123.146340014235 , 44.633334357924
-123.146443690391 , 44.633329420765
-123.146611167260 , 44.633235614754
-123.146730793594 , 44.633008505464
-123.146770669039 , 44.632712275956
-123.146834469751 , 44.632499978142
-123.146956000000 , 44.632455000000
